date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:23:04	597245/597245	---M-Z	200	added ('OK')	text/html	etag:%22afe5737aad88a7a0e959bd65eb830632%22	https://krow.com.tr/en/paketler/yks/yillik	D:/happencode/krow-mirror/krow.com.tr/en/paketler/yks/yillik.html	(from https://krow.com.tr/en/)
09:23:05	685838/685838	---M-Z	200	added ('OK')	text/html	etag:%2293eeeaaac7c1056603055af275e18dec%22	https://krow.com.tr/en/biz-kimiz	D:/happencode/krow-mirror/krow.com.tr/en/biz-kimiz.html	(from https://krow.com.tr/en/)
09:23:06	574104/574104	---M-Z	200	added ('OK')	text/html	etag:%22128fb45927340421978455454660601a%22	https://krow.com.tr/en/bize-ulas	D:/happencode/krow-mirror/krow.com.tr/en/bize-ulas.html	(from https://krow.com.tr/en/)
09:23:06	428457/428457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22fc4ebc9dfbf72025fe029e494e0c12cb%22	https://krow.com.tr/en/biz-kimiz/bize-katil	D:/happencode/krow-mirror/krow.com.tr/en/biz-kimiz/bize-katil.27.delayed	(from https://krow.com.tr/en/)
09:23:07	533337/533337	---M-Z	200	added ('OK')	text/html	etag:%220aa68c537ef4dcd0527e12e6c99e3878%22	https://krow.com.tr/en/sikca-sorulan-sorular	D:/happencode/krow-mirror/krow.com.tr/en/sikca-sorulan-sorular.html	(from https://krow.com.tr/en/)
09:23:09	791023/791023	---M-Z	200	added ('OK')	text/html	etag:%22eda8dc60f83b307f56b13cca203950f3%22	https://krow.com.tr/en/sinavlar/ags	D:/happencode/krow-mirror/krow.com.tr/en/sinavlar/ags.html	(from https://krow.com.tr/en/)
09:23:09	454745/454745	---M-Z	200	added ('OK')	text/html	etag:%221bf921650cc910db75ea28c47a1f4d0e%22	https://krow.com.tr/blog/lgs	D:/happencode/krow-mirror/krow.com.tr/blog/lgs.html	(from https://krow.com.tr/blog)
09:23:10	581110/581110	---M-Z	200	added ('OK')	text/html	etag:%229297375bf477d1f927869e398793e21d%22	https://krow.com.tr/blog/yks	D:/happencode/krow-mirror/krow.com.tr/blog/yks.html	(from https://krow.com.tr/blog)
09:23:11	581953/581953	---M-Z	200	added ('OK')	text/html	etag:%22fdce4a1a2d1f361cf0f7a7fe991ced2a%22	https://krow.com.tr/blog/kpss	D:/happencode/krow-mirror/krow.com.tr/blog/kpss.html	(from https://krow.com.tr/blog)
09:23:11	569788/569788	---M-Z	200	added ('OK')	text/html	etag:%228c84aad8de62a57a3c698880a77ac1a0%22	https://krow.com.tr/blog/tyt-kimya-en-onemli-formuller-2026-sinavda-isine-yarayacak-pratik-bilgiler	D:/happencode/krow-mirror/krow.com.tr/blog/tyt-kimya-en-onemli-formuller-2026-sinavda-isine-yarayacak-pratik-bilgiler.html	(from https://krow.com.tr/blog)
09:23:11	1331786/1331786	---MC-	200	added ('OK')	image/png	etag:%224a383181e3c2263b65d3df1e041ef955%22	https://framerusercontent.com/images/QxYzITCbywLWZp7WU6cQz8ZcQzI.png?width=2880&height=1620	D:/happencode/krow-mirror/framerusercontent.com/images/QxYzITCbywLWZp7WU6cQz8ZcQzIce8f.png	(from https://krow.com.tr/blog)
09:23:12	574191/574191	---M-Z	200	added ('OK')	text/html	etag:%22e2520b2eb1b4eb4148d3b577135d98d3%22	https://krow.com.tr/blog/yks-gunluk-calisma-programi-2026-tyt-ve-ayt-icin-ornek-plan	D:/happencode/krow-mirror/krow.com.tr/blog/yks-gunluk-calisma-programi-2026-tyt-ve-ayt-icin-ornek-plan.html	(from https://krow.com.tr/blog)
